Date,Quantity,Item,Price ,Sales
04/05/2021,1,Chloe,"5,883.05",5883.05
04/05/2021,2,Celine,"8,841.55",17683.1
04/05/2021,2,Hazelle,"8,744.55",17489.1
04/05/2021,1,Dining 4 Seater,"5,247.70",5247.7
04/05/2021,1,Dining 6 Seater,"6,751.20",6751.2
04/05/2021,1,Dining 8 Seater,"8,094.65",8094.65
04/05/2021,1,SB 36,"2,604.45",2604.45
04/05/2021,1,SB 48,"2,895.45",2895.45
04/05/2021,1,DD 36x36,"4,350.45",4350.45
04/05/2021,1,DD 36x48,"4,592.95",4592.95
04/05/2021,1,DD 36x54,"4,786.95",4786.95
04/05/2021,1,DD 36x60,"5,029.45",5029.45
04/05/2021,1,Noah 60,"8,274.10",8274.1
04/05/2021,1,Paul Div. 60,"8,807.60",8807.6
04/05/2021,1,Mikas Apa. 60,"7,692.10",7692.1
04/05/2021,1,Ruth Apa. 48,"6,377.75",6377.75
04/05/2021,2,Office Table 36x54,"4,311.53",8623.06
04/05/2021,2,Office Table 36x54,"4,096.88",8193.75
04/05/2021,2,Office Table 24x48,"3,263.25",6526.5
04/05/2021,5,Dining 4 Seater,"5,247.70",26238.5
04/05/2021,5,Dining 6 Seater,"6,751.20",33756
04/05/2021,2,SB 36,"2,604.45",5208.9
04/05/2021,3,SB 48,"2,895.45",8686.35
04/05/2021,1,Aleck,"10,670.00",10670
04/05/2021,1,Angeline,"8,793.05",8793.05
04/05/2021,1,Clarisse,"9,748.50",9748.5
04/05/2021,1,Bella,"7,905.50",7905.5
04/05/2021,1,Justine,"9,118.00",9118
04/05/2021,1,Brewster,"10,233.50",10233.5
04/05/2021,1,Michelle,"8,841.55",8841.55
04/05/2021,1,DD 48,"4,362.00",4362
04/05/2021,1,Dining 6's,"7,800.00",7800
04/05/2021,1,SB 54,"4,065.00",4065
04/05/2021,1,Michelle ,"8,962.50",8962.5
04/09/2021,1,Clarisse,10246.5,7684.88
04/09/2021,1,Center Tabke w/ 3/8,1819.125,1364.34
4/13/2021,1,Sophia,"6,435.00",6435
4/14/2021,1,Hazelle,"9,389.12",9389.12
4/14/2021,4,Ayen,"9,389.12",37556.46
4/14/2021,2,Lalie,"12,964.05",25928.1
4/14/2021,3,Ayesha,"16,656.84",49970.52
4/14/2021,6,DD 36x36,"5,401.69",32410.13
4/14/2021,1,Jonas Apa. 48,"6,874.88",6874.88
4/15/2021,1,Francia,"14,832.00",14832
4/14/2021,1,Noah 60,"10,156.80",10156.8
4/14/2021,1,Mikas Apa. 60,"7,612.80",7612.8
4/14/2021,1,Red Ent. 60,"6,652.80",6652.8
4/14/2021,1,Ericka Dresser,"6,518.40",6518.4
4/14/2021,2,Dining 8's,"8,107.20",16214.4
4/14/2021,2,Glass 8's,"2,232.00",4464
4/14/2021,2,Glass 6's,"1,896.00",3792
4/16/2021,6,Dining 8's,"8,107.20",48643.2
4/16/2021,6,Dining 6's,"6,681.60",40089.6
4/16/2021,2,Francia ,"14,832.00",29664
4/16/2021,1,Sb 36x75,3164.625,3164.63
4/16/2021,1,SB 48x75,"3,579.30",3579.3
4/16/2021,1,SB 54x75,"3,943.05",3943.05
4/16/2021,1,Dining 8's,"9,544.80",9544.8
4/16/2021,1,Jacob Apa. 36,"5,638.13",5638.13
4/16/2021,1,Dining 6's,"7,781.50",7781.5
4/16/2021,1,Platera 48,"6,873.00",6873
4/16/2021,2,Dining 6's,"6,960.00",6681.6
4/16/2021,1,Bar Counter 60,"10,245.00",9835.2
4/16/2021,1,SB 36x75,"2,685.00",2577.6
4/16/2021,1,Dave Div. 60,"8,380.00",8044.8
4/16/2021,1,Liera Div.60,"9,180.00",8812.8
4/16/2021,1,Platera 48,"6,975.00",6696
4/16/2021,1,Ericka Dresser ,"9,398.40",9398.4
4/17/2021,2,Sb 36x75,"3,262.50",6525
4/17/2021,2,SB 48x75,"3,690.00",7380
4/17/2021,1,SB 60x75,"4,327.50",4327.5
4/17/2021,2,Sb 54x75,"4,065.00",8130
4/17/2021,2,DD 36x48,"6,037.50",12075
4/17/2021,2,Angeline,"6,350.72",12701.44
4/17/2021,1,Hazelle,"6,350.72",6350.72
4/17/2021,3,Francia,"11,425.98",34277.94
4/17/2021,1,Lalie,"8,768.78",8768.78
4/17/2021,1,Angeline,"9,065.00",8702.4
4/17/2021,2,Michelle,"9,115.00",8750.4
4/17/2021,1,Clarisse,"10,050.00",9648
4/17/2021,1,Ayesha,"11,150.00",10704
4/17/2021,1,Aleck,"11,000.00",10560
4/17/2021,1,Adams,"11,000.00",10560
4/17/2021,1,Justine,"9,400.00",9024
4/17/2021,1,Nicole,"10,550.00",10128
4/17/2021,3,Dining 8's,"8,445.00",8107.2
4/17/2021,3,Dining 6's,"6,960.00",6681.6
4/17/2021,2,SB 36x75,"2,685.00",2577.6
4/17/2021,2,DD 36x36,"4,685.00",4497.6
4/17/2021,3,DD 36x54,"5,035.00",4833.6
4/17/2021,2,SB 48x75,"2,985.00",2865.6
4/17/2021,4,SB 54x75,"3,135.00",3009.6
4/17/2021,3,SB 60x75,"3,235.00",3105.6
